,RegionID,SizeRank,RegionName,RegionType,StateName,Date,Value
4006,394395,439,"Bloomsburg, PA",msa,PA,2000-05-31,106111.70250025124
4017,394541,450,"DuBois, PA",msa,PA,2000-05-31,56362.52793951961
4159,394933,597,"Oil City, PA",msa,PA,2000-05-31,49225.07386127307
4482,394974,7,"Philadelphia, PA",msa,PA,2000-06-30,123351.55337105152
4502,394982,27,"Pittsburgh, PA",msa,PA,2000-06-30,86278.83015025465
4544,394318,70,"Allentown, PA",msa,PA,2000-06-30,119107.39696389456
4571,394666,99,"Harrisburg, PA",msa,PA,2000-06-30,117528.3806795479
4573,395075,101,"Scranton, PA",msa,PA,2000-06-30,85555.45035277498
4594,395244,122,"York, PA",msa,PA,2000-06-30,118985.2543282284
4600,395015,128,"Reading, PA",msa,PA,2000-06-30,104745.12092287606
4655,394572,184,"Erie, PA",msa,PA,2000-06-30,88820.51515833293
4805,394321,340,"Altoona, PA",msa,PA,2000-06-30,88326.95134058548
4823,395225,359,"Williamsport, PA",msa,PA,2000-06-30,101924.19869041973
4846,394630,382,"Gettysburg, PA",msa,PA,2000-06-30,101896.59390363134
4893,394847,431,"Meadville, PA",msa,PA,2000-06-30,58751.489063658526
4901,394395,439,"Bloomsburg, PA",msa,PA,2000-06-30,106498.1763301893
4912,394541,450,"DuBois, PA",msa,PA,2000-06-30,56857.11556125289
5054,394933,597,"Oil City, PA",msa,PA,2000-06-30,49444.33471698626
5377,394974,7,"Philadelphia, PA",msa,PA,2000-07-31,123903.05663729525
5397,394982,27,"Pittsburgh, PA",msa,PA,2000-07-31,86695.38879081843
5439,394318,70,"Allentown, PA",msa,PA,2000-07-31,119778.8996348699
5466,394666,99,"Harrisburg, PA",msa,PA,2000-07-31,117734.7810110688
5468,395075,101,"Scranton, PA",msa,PA,2000-07-31,85742.30006227338
5489,395244,122,"York, PA",msa,PA,2000-07-31,119074.41102705052
5495,395015,128,"Reading, PA",msa,PA,2000-07-31,105122.0202944391
5550,394572,184,"Erie, PA",msa,PA,2000-07-31,89033.63450726989
5700,394321,340,"Altoona, PA",msa,PA,2000-07-31,88809.27268870034
5718,395225,359,"Williamsport, PA",msa,PA,2000-07-31,102394.20049228224
5741,394630,382,"Gettysburg, PA",msa,PA,2000-07-31,102361.27462617682
5788,394847,431,"Meadville, PA",msa,PA,2000-07-31,58969.76046391382
5796,394395,439,"Bloomsburg, PA",msa,PA,2000-07-31,106861.43919670804
5807,394541,450,"DuBois, PA",msa,PA,2000-07-31,57081.78452641837
5949,394933,597,"Oil City, PA",msa,PA,2000-07-31,49718.65702500643
6272,394974,7,"Philadelphia, PA",msa,PA,2000-08-31,124497.92664908308
6292,394982,27,"Pittsburgh, PA",msa,PA,2000-08-31,87041.26142093232
6334,394318,70,"Allentown, PA",msa,PA,2000-08-31,120441.50707345988
6361,394666,99,"Harrisburg, PA",msa,PA,2000-08-31,118020.72666680127
6363,395075,101,"Scranton, PA",msa,PA,2000-08-31,86015.44640979875
6384,395244,122,"York, PA",msa,PA,2000-08-31,119136.3006976408
6390,395015,128,"Reading, PA",msa,PA,2000-08-31,105530.57671415772
6445,394572,184,"Erie, PA",msa,PA,2000-08-31,89159.98866072077
6595,394321,340,"Altoona, PA",msa,PA,2000-08-31,89326.21967218617
6613,395225,359,"Williamsport, PA",msa,PA,2000-08-31,102891.0624814194
6636,394630,382,"Gettysburg, PA",msa,PA,2000-08-31,102878.5507335568
6683,394847,431,"Meadville, PA",msa,PA,2000-08-31,59776.34333751379
6691,394395,439,"Bloomsburg, PA",msa,PA,2000-08-31,107341.1829751653
6702,394541,450,"DuBois, PA",msa,PA,2000-08-31,57442.974842078016
6844,394933,597,"Oil City, PA",msa,PA,2000-08-31,50126.55068191242
7167,394974,7,"Philadelphia, PA",msa,PA,2000-09-30,125148.55250608822
7187,394982,27,"Pittsburgh, PA",msa,PA,2000-09-30,87445.91971580045
7229,394318,70,"Allentown, PA",msa,PA,2000-09-30,120964.8906914256
7256,394666,99,"Harrisburg, PA",msa,PA,2000-09-30,118388.95496701282
7258,395075,101,"Scranton, PA",msa,PA,2000-09-30,86256.53985634733
7279,395244,122,"York, PA",msa,PA,2000-09-30,119174.20467844472
7285,395015,128,"Reading, PA",msa,PA,2000-09-30,105888.0186079947
7340,394572,184,"Erie, PA",msa,PA,2000-09-30,89160.85385783076
7490,394321,340,"Altoona, PA",msa,PA,2000-09-30,89877.44743576446
7508,395225,359,"Williamsport, PA",msa,PA,2000-09-30,103357.68635352809
7531,394630,382,"Gettysburg, PA",msa,PA,2000-09-30,103463.60071002382
7578,394847,431,"Meadville, PA",msa,PA,2000-09-30,60783.18917718134
7586,394395,439,"Bloomsburg, PA",msa,PA,2000-09-30,107828.5483325221
7597,394541,450,"DuBois, PA",msa,PA,2000-09-30,57993.40248928964
7739,394933,597,"Oil City, PA",msa,PA,2000-09-30,50517.2600280488
8062,394974,7,"Philadelphia, PA",msa,PA,2000-10-31,125823.23983590206
8082,394982,27,"Pittsburgh, PA",msa,PA,2000-10-31,87769.1464028003
8124,394318,70,"Allentown, PA",msa,PA,2000-10-31,121524.21120278242
8151,394666,99,"Harrisburg, PA",msa,PA,2000-10-31,118828.08245468984
8153,395075,101,"Scranton, PA",msa,PA,2000-10-31,86515.61215620965
8174,395244,122,"York, PA",msa,PA,2000-10-31,119202.992236696
8180,395015,128,"Reading, PA",msa,PA,2000-10-31,106272.74442386368
8235,394572,184,"Erie, PA",msa,PA,2000-10-31,88954.01786154303
8385,394321,340,"Altoona, PA",msa,PA,2000-10-31,90371.61442597971
8403,395225,359,"Williamsport, PA",msa,PA,2000-10-31,103791.86251226056
8426,394630,382,"Gettysburg, PA",msa,PA,2000-10-31,104059.0991660972
8473,394847,431,"Meadville, PA",msa,PA,2000-10-31,61426.9218116783
8481,394395,439,"Bloomsburg, PA",msa,PA,2000-10-31,108322.10923936102
8492,394541,450,"DuBois, PA",msa,PA,2000-10-31,58979.72627184312
8634,394933,597,"Oil City, PA",msa,PA,2000-10-31,50865.25290682252
8957,394974,7,"Philadelphia, PA",msa,PA,2000-11-30,126450.7095363307
8977,394982,27,"Pittsburgh, PA",msa,PA,2000-11-30,88107.94926091067
9019,394318,70,"Allentown, PA",msa,PA,2000-11-30,122229.53998040989
9046,394666,99,"Harrisburg, PA",msa,PA,2000-11-30,119488.9714039216
9048,395075,101,"Scranton, PA",msa,PA,2000-11-30,87016.78382840358
9069,395244,122,"York, PA",msa,PA,2000-11-30,119303.38464212188
9075,395015,128,"Reading, PA",msa,PA,2000-11-30,106851.12006613724
9130,394572,184,"Erie, PA",msa,PA,2000-11-30,88751.83038653748
9280,394321,340,"Altoona, PA",msa,PA,2000-11-30,90950.30056794624
9298,395225,359,"Williamsport, PA",msa,PA,2000-11-30,104387.57891697883
9321,394630,382,"Gettysburg, PA",msa,PA,2000-11-30,104807.20961041252
9368,394847,431,"Meadville, PA",msa,PA,2000-11-30,61913.437820191895
9376,394395,439,"Bloomsburg, PA",msa,PA,2000-11-30,109070.75875929077
9387,394541,450,"DuBois, PA",msa,PA,2000-11-30,59915.16171424478
9529,394933,597,"Oil City, PA",msa,PA,2000-11-30,51213.60378195527
9852,394974,7,"Philadelphia, PA",msa,PA,2000-12-31,127005.08140963037
9872,394982,27,"Pittsburgh, PA",msa,PA,2000-12-31,88466.63666627531
9914,394318,70,"Allentown, PA",msa,PA,2000-12-31,123060.1344698725
9941,394666,99,"Harrisburg, PA",msa,PA,2000-12-31,120201.62237545344
9943,395075,101,"Scranton, PA",msa,PA,2000-12-31,87668.36995900341
9964,395244,122,"York, PA",msa,PA,2000-12-31,119451.1418452831
9970,395015,128,"Reading, PA",msa,PA,2000-12-31,107452.82294594707
10025,394572,184,"Erie, PA",msa,PA,2000-12-31,88606.2624576261
10175,394321,340,"Altoona, PA",msa,PA,2000-12-31,91554.52836083788
10193,395225,359,"Williamsport, PA",msa,PA,2000-12-31,105103.35246987108
10216,394630,382,"Gettysburg, PA",msa,PA,2000-12-31,105609.27382293691
10263,394847,431,"Meadville, PA",msa,PA,2000-12-31,62331.78855369076
10271,394395,439,"Bloomsburg, PA",msa,PA,2000-12-31,109953.4867765092
10282,394541,450,"DuBois, PA",msa,PA,2000-12-31,61002.08754917979
10424,394933,597,"Oil City, PA",msa,PA,2000-12-31,51621.00466704564
10747,394974,7,"Philadelphia, PA",msa,PA,2001-01-31,127531.30961160168
10767,394982,27,"Pittsburgh, PA",msa,PA,2001-01-31,88881.24502065194
10809,394318,70,"Allentown, PA",msa,PA,2001-01-31,123877.69547345412
10836,394666,99,"Harrisburg, PA",msa,PA,2001-01-31,120879.54051918708
10838,395075,101,"Scranton, PA",msa,PA,2001-01-31,88480.66836451938
10859,395244,122,"York, PA",msa,PA,2001-01-31,119579.69590965316
10865,395015,128,"Reading, PA",msa,PA,2001-01-31,107966.86070754212
10920,394572,184,"Erie, PA",msa,PA,2001-01-31,88640.3109915551
11070,394321,340,"Altoona, PA",msa,PA,2001-01-31,92319.6699873326
11088,395225,359,"Williamsport, PA",msa,PA,2001-01-31,105771.573070082
11111,394630,382,"Gettysburg, PA",msa,PA,2001-01-31,106311.4313506044
11158,394847,431,"Meadville, PA",msa,PA,2001-01-31,62433.4516338473
11166,394395,439,"Bloomsburg, PA",msa,PA,2001-01-31,110696.21015164172
11177,394541,450,"DuBois, PA",msa,PA,2001-01-31,61754.46722924904
11319,394933,597,"Oil City, PA",msa,PA,2001-01-31,51875.07375863806
11642,394974,7,"Philadelphia, PA",msa,PA,2001-02-28,128097.12688895004
11662,394982,27,"Pittsburgh, PA",msa,PA,2001-02-28,89298.98911818296
11704,394318,70,"Allentown, PA",msa,PA,2001-02-28,124548.972315494
11731,394666,99,"Harrisburg, PA",msa,PA,2001-02-28,121284.0591106634
11733,395075,101,"Scranton, PA",msa,PA,2001-02-28,88954.30485249432
11754,395244,122,"York, PA",msa,PA,2001-02-28,119758.6881410912
11760,395015,128,"Reading, PA",msa,PA,2001-02-28,108197.17401947112
11815,394572,184,"Erie, PA",msa,PA,2001-02-28,88738.95314324733
11965,394321,340,"Altoona, PA",msa,PA,2001-02-28,92882.52794786153
11983,395225,359,"Williamsport, PA",msa,PA,2001-02-28,106153.51693691975
12006,394630,382,"Gettysburg, PA",msa,PA,2001-02-28,106749.6230289669
12053,394847,431,"Meadville, PA",msa,PA,2001-02-28,62195.73915195579
12061,394395,439,"Bloomsburg, PA",msa,PA,2001-02-28,111006.70110278483
12072,394541,450,"DuBois, PA",msa,PA,2001-02-28,62073.591267839154
12214,394933,597,"Oil City, PA",msa,PA,2001-02-28,51975.04978394884
12537,394974,7,"Philadelphia, PA",msa,PA,2001-03-31,128717.10393082265
12557,394982,27,"Pittsburgh, PA",msa,PA,2001-03-31,89645.9165651378
12599,394318,70,"Allentown, PA",msa,PA,2001-03-31,125210.12916214376
12626,394666,99,"Harrisburg, PA",msa,PA,2001-03-31,121630.12150492427
12628,395075,101,"Scranton, PA",msa,PA,2001-03-31,89258.55046436528
12649,395244,122,"York, PA",msa,PA,2001-03-31,119978.7226325022
12655,395015,128,"Reading, PA",msa,PA,2001-03-31,108456.04128106937
12710,394572,184,"Erie, PA",msa,PA,2001-03-31,88863.48716979467
12860,394321,340,"Altoona, PA",msa,PA,2001-03-31,93466.00547379884
12878,395225,359,"Williamsport, PA",msa,PA,2001-03-31,106434.81939375884
12901,394630,382,"Gettysburg, PA",msa,PA,2001-03-31,107105.07841978136
12948,394847,431,"Meadville, PA",msa,PA,2001-03-31,61970.31207822564
12956,394395,439,"Bloomsburg, PA",msa,PA,2001-03-31,111120.88071867102
12967,394541,450,"DuBois, PA",msa,PA,2001-03-31,62227.90329210096
13109,394933,597,"Oil City, PA",msa,PA,2001-03-31,52002.92486051046
13432,394974,7,"Philadelphia, PA",msa,PA,2001-04-30,129368.3063029856
13452,394982,27,"Pittsburgh, PA",msa,PA,2001-04-30,90007.00257921976
13494,394318,70,"Allentown, PA",msa,PA,2001-04-30,125819.06030360778
13521,394666,99,"Harrisburg, PA",msa,PA,2001-04-30,122002.30278175476
13523,395075,101,"Scranton, PA",msa,PA,2001-04-30,89364.13690696412
13544,395244,122,"York, PA",msa,PA,2001-04-30,120207.39487969124
13550,395015,128,"Reading, PA",msa,PA,2001-04-30,108833.55419154077
13605,394572,184,"Erie, PA",msa,PA,2001-04-30,89049.8058260684
13755,394321,340,"Altoona, PA",msa,PA,2001-04-30,94001.52463080402
13773,395225,359,"Williamsport, PA",msa,PA,2001-04-30,106831.68603756306
13796,394630,382,"Gettysburg, PA",msa,PA,2001-04-30,107591.62880186566
13843,394847,431,"Meadville, PA",msa,PA,2001-04-30,62029.54570449743
13851,394395,439,"Bloomsburg, PA",msa,PA,2001-04-30,111403.53014596744
13862,394541,450,"DuBois, PA",msa,PA,2001-04-30,62378.12099153799
14004,394933,597,"Oil City, PA",msa,PA,2001-04-30,52273.73011614303
14327,394974,7,"Philadelphia, PA",msa,PA,2001-05-31,130017.80507313456
14347,394982,27,"Pittsburgh, PA",msa,PA,2001-05-31,90362.14380545642
14389,394318,70,"Allentown, PA",msa,PA,2001-05-31,126360.34369602049
14416,394666,99,"Harrisburg, PA",msa,PA,2001-05-31,122456.49520844757
14418,395075,101,"Scranton, PA",msa,PA,2001-05-31,89488.92680166027
14439,395244,122,"York, PA",msa,PA,2001-05-31,120396.57154910958
14445,395015,128,"Reading, PA",msa,PA,2001-05-31,109284.21157967576
14500,394572,184,"Erie, PA",msa,PA,2001-05-31,89383.32941568231
14589,394453,277,"Chambersburg, PA",msa,PA,2001-05-31,120096.72755046292
14650,394321,340,"Altoona, PA",msa,PA,2001-05-31,94691.1302486777
14668,395225,359,"Williamsport, PA",msa,PA,2001-05-31,107383.26604216016
14691,394630,382,"Gettysburg, PA",msa,PA,2001-05-31,108244.29005577316
14738,394847,431,"Meadville, PA",msa,PA,2001-05-31,62506.3490788674
14746,394395,439,"Bloomsburg, PA",msa,PA,2001-05-31,111732.12865062062
14757,394541,450,"DuBois, PA",msa,PA,2001-05-31,62889.711503491686
14899,394933,597,"Oil City, PA",msa,PA,2001-05-31,52652.56141632376
15222,394974,7,"Philadelphia, PA",msa,PA,2001-06-30,130725.3113953423
15242,394982,27,"Pittsburgh, PA",msa,PA,2001-06-30,90779.60069206591
15284,394318,70,"Allentown, PA",msa,PA,2001-06-30,126778.05711455678
15311,394666,99,"Harrisburg, PA",msa,PA,2001-06-30,122914.87127802364
15313,395075,101,"Scranton, PA",msa,PA,2001-06-30,89664.04537808959
15334,395244,122,"York, PA",msa,PA,2001-06-30,120679.82161944888
15340,395015,128,"Reading, PA",msa,PA,2001-06-30,109604.54571042996
15395,394572,184,"Erie, PA",msa,PA,2001-06-30,89814.3567109031
15484,394453,277,"Chambersburg, PA",msa,PA,2001-06-30,120831.13143728708
15545,394321,340,"Altoona, PA",msa,PA,2001-06-30,95405.73497842904
15563,395225,359,"Williamsport, PA",msa,PA,2001-06-30,107916.06299363608
15586,394630,382,"Gettysburg, PA",msa,PA,2001-06-30,108964.60686650989
15633,394847,431,"Meadville, PA",msa,PA,2001-06-30,63128.803602912194
15641,394395,439,"Bloomsburg, PA",msa,PA,2001-06-30,112200.05466816598
15652,394541,450,"DuBois, PA",msa,PA,2001-06-30,63404.31628170292
15794,394933,597,"Oil City, PA",msa,PA,2001-06-30,53063.52062159101
16117,394974,7,"Philadelphia, PA",msa,PA,2001-07-31,131547.5052757099
16137,394982,27,"Pittsburgh, PA",msa,PA,2001-07-31,91249.54781463848
16179,394318,70,"Allentown, PA",msa,PA,2001-07-31,127295.70080810392
16206,394666,99,"Harrisburg, PA",msa,PA,2001-07-31,123210.57728434906
16208,395075,101,"Scranton, PA",msa,PA,2001-07-31,89884.56395369237
16229,395244,122,"York, PA",msa,PA,2001-07-31,121033.05269240128
16235,395015,128,"Reading, PA",msa,PA,2001-07-31,109861.95741630932
16290,394572,184,"Erie, PA",msa,PA,2001-07-31,90230.38889006148
16379,394453,277,"Chambersburg, PA",msa,PA,2001-07-31,121301.58498134345
16440,394321,340,"Altoona, PA",msa,PA,2001-07-31,96148.35234080003
16458,395225,359,"Williamsport, PA",msa,PA,2001-07-31,108471.53822597153
16481,394630,382,"Gettysburg, PA",msa,PA,2001-07-31,109684.84998168482
16528,394847,431,"Meadville, PA",msa,PA,2001-07-31,63706.51179407973
16536,394395,439,"Bloomsburg, PA",msa,PA,2001-07-31,112774.45048088612
16547,394541,450,"DuBois, PA",msa,PA,2001-07-31,63884.47501499643
16689,394933,597,"Oil City, PA",msa,PA,2001-07-31,53420.186093476135
17012,394974,7,"Philadelphia, PA",msa,PA,2001-08-31,132475.8888938035
17032,394982,27,"Pittsburgh, PA",msa,PA,2001-08-31,91761.10685819876
17074,394318,70,"Allentown, PA",msa,PA,2001-08-31,127888.7809178488
17101,394666,99,"Harrisburg, PA",msa,PA,2001-08-31,123401.23341459032
17103,395075,101,"Scranton, PA",msa,PA,2001-08-31,90109.87997722167
17124,395244,122,"York, PA",msa,PA,2001-08-31,121448.8774413618
17130,395015,128,"Reading, PA",msa,PA,2001-08-31,110142.42875463128
17185,394572,184,"Erie, PA",msa,PA,2001-08-31,90573.78571258752
17274,394453,277,"Chambersburg, PA",msa,PA,2001-08-31,122095.73574742155
17335,394321,340,"Altoona, PA",msa,PA,2001-08-31,96874.17400718512
17353,395225,359,"Williamsport, PA",msa,PA,2001-08-31,108978.62776294172
17376,394630,382,"Gettysburg, PA",msa,PA,2001-08-31,110301.14362250367
17423,394847,431,"Meadville, PA",msa,PA,2001-08-31,64265.34503706984
17431,394395,439,"Bloomsburg, PA",msa,PA,2001-08-31,113564.92890089333
17442,394541,450,"DuBois, PA",msa,PA,2001-08-31,64280.11681857905
17584,394933,597,"Oil City, PA",msa,PA,2001-08-31,53787.65984218251
17907,394974,7,"Philadelphia, PA",msa,PA,2001-09-30,133476.71982680447
17927,394982,27,"Pittsburgh, PA",msa,PA,2001-09-30,92252.62784144407
17969,394318,70,"Allentown, PA",msa,PA,2001-09-30,128481.62914610573
17996,394666,99,"Harrisburg, PA",msa,PA,2001-09-30,123490.91398854628
17998,395075,101,"Scranton, PA",msa,PA,2001-09-30,90363.27072744754
18019,395244,122,"York, PA",msa,PA,2001-09-30,121856.73877754153
18025,395015,128,"Reading, PA",msa,PA,2001-09-30,110516.14717714638
18080,394572,184,"Erie, PA",msa,PA,2001-09-30,91058.16434629714
18169,394453,277,"Chambersburg, PA",msa,PA,2001-09-30,122622.49766061196
18230,394321,340,"Altoona, PA",msa,PA,2001-09-30,97489.09597962054
18248,395225,359,"Williamsport, PA",msa,PA,2001-09-30,109439.9606367963
18271,394630,382,"Gettysburg, PA",msa,PA,2001-09-30,110836.60015857666
18318,394847,431,"Meadville, PA",msa,PA,2001-09-30,64847.73777118255
18326,394395,439,"Bloomsburg, PA",msa,PA,2001-09-30,114421.817239927
18337,394541,450,"DuBois, PA",msa,PA,2001-09-30,64616.98889092484
18479,394933,597,"Oil City, PA",msa,PA,2001-09-30,54126.95763719009
18802,394974,7,"Philadelphia, PA",msa,PA,2001-10-31,134429.51766021416
18822,394982,27,"Pittsburgh, PA",msa,PA,2001-10-31,92666.38795531444
18864,394318,70,"Allentown, PA",msa,PA,2001-10-31,129084.28148358622
18891,394666,99,"Harrisburg, PA",msa,PA,2001-10-31,123642.732077987
18893,395075,101,"Scranton, PA",msa,PA,2001-10-31,90732.65743732092
18914,395244,122,"York, PA",msa,PA,2001-10-31,122258.5528695825
18920,395015,128,"Reading, PA",msa,PA,2001-10-31,110804.87535569076
18975,394572,184,"Erie, PA",msa,PA,2001-10-31,91533.98792803296
19064,394453,277,"Chambersburg, PA",msa,PA,2001-10-31,123047.70156241866
19125,394321,340,"Altoona, PA",msa,PA,2001-10-31,97978.3439464602
19143,395225,359,"Williamsport, PA",msa,PA,2001-10-31,109816.06042810406
19166,394630,382,"Gettysburg, PA",msa,PA,2001-10-31,111363.66736863308
19213,394847,431,"Meadville, PA",msa,PA,2001-10-31,65397.823142582674
19221,394395,439,"Bloomsburg, PA",msa,PA,2001-10-31,115089.85098007348
19232,394541,450,"DuBois, PA",msa,PA,2001-10-31,65074.04372504101
19374,394933,597,"Oil City, PA",msa,PA,2001-10-31,54454.7143636329
19697,394974,7,"Philadelphia, PA",msa,PA,2001-11-30,135392.23586706762
19717,394982,27,"Pittsburgh, PA",msa,PA,2001-11-30,93044.2490324328
19759,394318,70,"Allentown, PA",msa,PA,2001-11-30,129748.7423567833
19786,394666,99,"Harrisburg, PA",msa,PA,2001-11-30,123817.87078474456
19788,395075,101,"Scranton, PA",msa,PA,2001-11-30,91234.31983194732
19809,395244,122,"York, PA",msa,PA,2001-11-30,122638.76632896785
19815,395015,128,"Reading, PA",msa,PA,2001-11-30,111087.9196733008
19870,394572,184,"Erie, PA",msa,PA,2001-11-30,91934.75711267335
19959,394453,277,"Chambersburg, PA",msa,PA,2001-11-30,123773.23396853096
20020,394321,340,"Altoona, PA",msa,PA,2001-11-30,98298.89981579344
20038,395225,359,"Williamsport, PA",msa,PA,2001-11-30,110183.44838978634
20061,394630,382,"Gettysburg, PA",msa,PA,2001-11-30,111862.88792371812
20108,394847,431,"Meadville, PA",msa,PA,2001-11-30,65861.28378800052
20116,394395,439,"Bloomsburg, PA",msa,PA,2001-11-30,115690.21486517928
20127,394541,450,"DuBois, PA",msa,PA,2001-11-30,65371.62495048557
20269,394933,597,"Oil City, PA",msa,PA,2001-11-30,54730.37139419806
20592,394974,7,"Philadelphia, PA",msa,PA,2001-12-31,136200.15256758244
20612,394982,27,"Pittsburgh, PA",msa,PA,2001-12-31,93435.68915310572
20654,394318,70,"Allentown, PA",msa,PA,2001-12-31,130557.64561699668
20681,394666,99,"Harrisburg, PA",msa,PA,2001-12-31,124019.6036306826
20683,395075,101,"Scranton, PA",msa,PA,2001-12-31,91668.12834932974
20704,395244,122,"York, PA",msa,PA,2001-12-31,123084.93490792318
20710,395015,128,"Reading, PA",msa,PA,2001-12-31,111397.08555115388
20765,394572,184,"Erie, PA",msa,PA,2001-12-31,92157.1866886862
20854,394453,277,"Chambersburg, PA",msa,PA,2001-12-31,124405.58889249492
