city,state_id,state_name,county_name,lat,lng,population,density
McBee,SC,South Carolina,Chesterfield,34.467,-80.2571,1046,308
Riverdale,VA,Virginia,Halifax,36.6764,-78.8943,1046,49.7
Florence,MT,Montana,Ravalli,46.6345,-114.0813,1046,525.9
Chebanse,IL,Illinois,Kankakee,41.0057,-87.9098,1046,339.5
Central City,PA,Pennsylvania,Somerset,40.1096,-78.8043,1045,747.4
Campbellsburg,KY,Kentucky,Henry,38.522,-85.2195,1045,305
Caddo,OK,Oklahoma,Bryan,34.1256,-96.2636,1045,238.4
Dunnigan,CA,California,Yolo,38.8926,-121.9741,1045,77.1
Okeene,OK,Oklahoma,Blaine,36.1171,-98.3167,1044,178.1
Holgate,OH,Ohio,Henry,41.2493,-84.1292,1044,349.3
Burgin,KY,Kentucky,Mercer,37.7543,-84.7632,1044,320.9
Rafael Hernández,PR,Puerto Rico,Aguadilla,18.4718,-67.0787,1044,1525
Boling,TX,Texas,Wharton,29.2584,-95.9436,1044,86.3
Talkeetna,AK,Alaska,Matanuska-Susitna,62.2994,-149.9601,1044,4.3
Colony Park,PA,Pennsylvania,Berks,40.3465,-75.9827,1044,1256.7
Carrollton,AL,Alabama,Pickens,33.2619,-88.0951,1043,195.6
Maywood Park,OR,Oregon,Multnomah,45.5524,-122.5617,1043,2318.1
Cochranton,PA,Pennsylvania,Crawford,41.5191,-80.047,1043,335.4
Hawesville,KY,Kentucky,Hancock,37.8962,-86.7561,1043,248.1
Greenwood,WI,Wisconsin,Clark,44.7655,-90.5989,1043,150.5
Woodbine,GA,Georgia,Camden,30.9598,-81.7176,1043,158.3
Ray City,GA,Georgia,Berrien,31.0729,-83.196,1043,351.3
Milmay,NJ,New Jersey,Atlantic,39.4433,-74.8668,1042,49
Beckemeyer,IL,Illinois,Clinton,38.6058,-89.4321,1042,652.2
Los Héroes Comunidad,PR,Puerto Rico,Moca,18.3916,-67.1186,1042,570.3
Claverack-Red Mills,NY,New York,Columbia,42.2264,-73.7268,1042,133.5
Catahoula,LA,Louisiana,St. Martin,30.2126,-91.7126,1042,131.4
