city,state_id,state_name,county_name,lat,lng,population,density
New York,NY,New York,Queens,40.6943,-73.9249,18908608,11080.3
Los Angeles,CA,California,Los Angeles,34.1141,-118.4068,11922389,3184.7
Chicago,IL,Illinois,Cook,41.8375,-87.6866,8497759,4614.5
Miami,FL,Florida,Miami-Dade,25.784,-80.2101,6080145,4758.9
Houston,TX,Texas,Harris,29.786,-95.3885,5970127,1384
Dallas,TX,Texas,Dallas,32.7935,-96.7667,5830932,1478.7
Philadelphia,PA,Pennsylvania,Philadelphia,40.0077,-75.1339,5683533,4578.4
Atlanta,GA,Georgia,Fulton,33.7628,-84.422,5180179,1412.3
Washington,DC,District of Columbia,District of Columbia,38.9047,-77.0163,5116378,4235.7
Boston,MA,Massachusetts,Suffolk,42.3188,-71.0852,4328315,5319
Phoenix,AZ,Arizona,Maricopa,33.5722,-112.0892,4064275,1198.9
Detroit,MI,Michigan,Wayne,42.3834,-83.1024,3725908,1772.2
Seattle,WA,Washington,King,47.6211,-122.3244,3561397,3376.6
San Francisco,CA,California,San Francisco,37.7558,-122.4449,3364979,7030.7
San Diego,CA,California,San Diego,32.8313,-117.1222,3046560,1639.7
Minneapolis,MN,Minnesota,Hennepin,44.9635,-93.2678,2892569,3052.2
Tampa,FL,Florida,Hillsborough,27.9945,-82.4447,2861173,1320.9
Brooklyn,NY,New York,Kings,40.6501,-73.9496,2736074,15200.5
Denver,CO,Colorado,Denver,39.762,-104.8758,2687458,1792.9
Queens,NY,New York,Queens,40.7498,-73.7976,2405464,8503.7
Riverside,CA,California,Riverside,33.9381,-117.3949,2332836,1503.9
Las Vegas,NV,Nevada,Clark,36.2333,-115.2654,2248047,1755.1
Baltimore,MD,Maryland,Baltimore,39.3051,-76.6144,2196524,2788.2
St. Louis,MO,Missouri,St. Louis,38.6359,-90.2451,2130881,1864.3
Portland,OR,Oregon,Multnomah,45.5371,-122.65,2095808,1868.8
San Antonio,TX,Texas,Bexar,29.4632,-98.5238,2058444,1118.8
Sacramento,CA,California,Sacramento,38.5677,-121.4685,1957738,2049.4
Austin,TX,Texas,Travis,30.3005,-97.7522,1905945,1154.1
Orlando,FL,Florida,Orange,28.4773,-81.337,1882705,1070.2
San Juan,PR,Puerto Rico,San Juan,18.3985,-66.061,1814587,3128.8
San Jose,CA,California,Santa Clara,37.3012,-121.848,1771413,2172.6
Pittsburgh,PA,Pennsylvania,Allegheny,40.4397,-79.9763,1749091,2118.5
Indianapolis,IN,Indiana,Marion,39.7771,-86.1458,1729849,941.8
Manhattan,NY,New York,New York,40.7834,-73.9662,1694263,28653.9
Cincinnati,OH,Ohio,Hamilton,39.1413,-84.506,1692702,1530.6
Kansas City,MO,Missouri,Jackson,39.1238,-94.5541,1689556,620.7
Cleveland,OH,Ohio,Cuyahoga,41.4764,-81.6805,1680247,1839.6
Columbus,OH,Ohio,Franklin,39.9862,-82.9855,1572546,1581
Bronx,NY,New York,Bronx,40.8501,-73.8662,1472654,13356.3
Virginia Beach,VA,Virginia,Virginia Beach,36.7335,-76.0435,1443020,722.4
Charlotte,NC,North Carolina,Mecklenburg,35.2083,-80.8303,1427444,1089.8
Milwaukee,WI,Wisconsin,Milwaukee,43.0642,-87.9675,1290940,2301.6
Providence,RI,Rhode Island,Providence,41.823,-71.4187,1290271,3979.7
Jacksonville,FL,Florida,Duval,30.3322,-81.6749,1288298,491
Nashville,TN,Tennessee,Davidson,36.1715,-86.7842,1177657,555.4
Salt Lake City,UT,Utah,Salt Lake,40.7776,-111.9311,1173879,700.8
Raleigh,NC,North Carolina,Wake,35.8324,-78.6429,1163152,1210
Richmond,VA,Virginia,Richmond,37.5295,-77.4756,1073223,1463.7
Memphis,TN,Tennessee,Shelby,35.1087,-89.9663,1037998,824.8
Oklahoma City,OK,Oklahoma,Oklahoma,35.4676,-97.5136,998806,433.6
Hartford,CT,Connecticut,Capitol,41.7661,-72.6834,974684,2689.4
Louisville,KY,Kentucky,Jefferson,38.1663,-85.6485,963812,923.1
Buffalo,NY,New York,Erie,42.9018,-78.8487,944589,2645.7
New Orleans,LA,Louisiana,Orleans,30.0687,-89.9288,932759,866.5
Fort Worth,TX,Texas,Tarrant,32.7817,-97.3474,924663,1021.2
Bridgeport,CT,Connecticut,Greater Bridgeport,41.1918,-73.1954,908251,3568.4
Tucson,AZ,Arizona,Pima,32.1541,-110.8787,878320,863.9
El Paso,TX,Texas,El Paso,31.8476,-106.43,865270,1011.4
Omaha,NE,Nebraska,Douglas,41.2627,-96.0529,821345,1323.9
McAllen,TX,Texas,Hidalgo,26.2252,-98.2467,797341,884.4
Birmingham,AL,Alabama,Jefferson,33.5279,-86.7971,782111,526.4
Albuquerque,NM,New Mexico,Bernalillo,35.1054,-106.6465,769986,1159.8
Tulsa,OK,Oklahoma,Tulsa,36.1283,-95.9042,731743,804.2
Fresno,CA,California,Fresno,36.783,-119.7939,725276,1805.3
Charleston,SC,South Carolina,Charleston,32.8168,-79.9687,706884,503.3
Rochester,NY,New York,Monroe,43.168,-77.6162,699921,2278
Dayton,OH,Ohio,Montgomery,39.7805,-84.2003,668825,950
Cape Coral,FL,Florida,Lee,26.6443,-81.9957,654405,724.2
Mission Viejo,CA,California,Orange,33.6096,-117.6551,642211,2038.4
Colorado Springs,CO,Colorado,El Paso,38.8674,-104.7605,638194,917.5
Baton Rouge,LA,Louisiana,East Baton Rouge,30.442,-91.1311,635671,1001.4
Allentown,PA,Pennsylvania,Lehigh,40.5961,-75.4756,627863,2754.2
Ogden,UT,Utah,Weber,41.2279,-111.9682,622918,1215.9
Provo,UT,Utah,Utah,40.2457,-111.6457,619218,1059.2
Knoxville,TN,Tennessee,Knox,35.9692,-83.9496,615829,750.3
Grand Rapids,MI,Michigan,Kent,42.9619,-85.6562,609023,1708.2
Columbia,SC,South Carolina,Richland,34.0378,-80.9036,604065,383.1
Albany,NY,New York,Albany,42.6664,-73.7987,590694,1798.3
Bakersfield,CA,California,Kern,35.3529,-119.0359,571992,1038.8
New Haven,CT,Connecticut,South Central Connecticut,41.3113,-72.9246,565572,2804.1
Des Moines,IA,Iowa,Polk,41.5725,-93.6105,548926,933.4
Akron,OH,Ohio,Summit,41.0798,-81.5219,541945,1186.2
Palm Bay,FL,Florida,Brevard,27.9631,-80.6593,534348,542.9
Concord,CA,California,Contra Costa,37.9722,-122.0016,531175,1579.4
Wichita,KS,Kansas,Sedgwick,37.6895,-97.3443,509003,938.6
Mesa,AZ,Arizona,Maricopa,33.4015,-111.7178,503390,1379.8
Harrisburg,PA,Pennsylvania,Dauphin,40.2752,-76.8843,498329,2380.4
Staten Island,NY,New York,Richmond,40.5834,-74.1496,495747,3286.2
Toledo,OH,Ohio,Lucas,41.6638,-83.5827,493302,1295
Worcester,MA,Massachusetts,Worcester,42.2705,-71.8079,486486,2110.2
Long Beach,CA,California,Los Angeles,33.7977,-118.167,462293,3522.5
Port St. Lucie,FL,Florida,St. Lucie,27.2796,-80.3884,462047,681.8
Little Rock,AR,Arkansas,Pulaski,34.7256,-92.3577,459409,649.4
Reno,NV,Nevada,Washoe,39.5497,-119.8483,457702,940.5
Spokane,WA,Washington,Spokane,47.6671,-117.433,456219,1279.8
Madison,WI,Wisconsin,Dane,43.0822,-89.393,451652,1268.3
Boise,ID,Idaho,Ada,43.6005,-116.2308,449776,1072.4
Bonita Springs,FL,Florida,Lee,26.3558,-81.7859,449527,542.2
Denton,TX,Texas,Denton,33.2175,-97.1418,438492,567.5
Oakland,CA,California,Alameda,37.7904,-122.2166,437825,3020.6
Springfield,MA,Massachusetts,Hampden,42.1155,-72.5395,437752,1881.5
Augusta,GA,Georgia,Richmond,33.3645,-82.0708,437257,257.5
Kissimmee,FL,Florida,Osceola,28.3041,-81.4169,431618,1409.2
Winston-Salem,NC,North Carolina,Forsyth,36.1029,-80.261,427706,721.6
Stockton,CA,California,San Joaquin,37.9765,-121.3109,413637,1980.5
Syracuse,NY,New York,Onondaga,43.0407,-76.1437,410732,2251.6
Chattanooga,TN,Tennessee,Hamilton,35.066,-85.2481,406849,491.7
Lancaster,PA,Pennsylvania,Lancaster,40.042,-76.3012,402476,3096.9
Greenville,SC,South Carolina,Greenville,34.8354,-82.3646,401443,917.9
Durham,NC,North Carolina,Durham,35.9792,-78.9022,399616,950.8
Pensacola,FL,Florida,Escambia,30.4413,-87.1911,398813,917
Fayetteville,AR,Arkansas,Washington,36.0714,-94.1661,394650,672.8
Arlington,TX,Texas,Tarrant,32.6998,-97.125,393469,1585.1
Aurora,CO,Colorado,Arapahoe,39.7083,-104.7237,387349,920.3
Oxnard,CA,California,Ventura,34.1964,-119.1815,369962,2944.1
Indio,CA,California,Riverside,33.7346,-116.2346,369654,1042.7
Scranton,PA,Pennsylvania,Lackawanna,41.4044,-75.6649,366334,1161.3
Victorville,CA,California,San Bernardino,34.5277,-117.3536,364015,704.1
Trenton,NJ,New Jersey,Mercer,40.2237,-74.7641,362179,4571.3
Modesto,CA,California,Stanislaus,37.6375,-121.0028,354183,1955.8
Huntsville,AL,Alabama,Madison,34.6981,-86.6412,349482,376.2
Honolulu,HI,Hawaii,Honolulu,21.3294,-157.846,348547,2219.9
Greensboro,NC,North Carolina,Guilford,36.0956,-79.8271,347130,873.2
Anaheim,CA,California,Orange,33.839,-117.8574,347111,2665.3
Corpus Christi,TX,Texas,Nueces,27.7254,-97.3767,337230,756.1
Fort Wayne,IN,Indiana,Allen,41.0888,-85.1436,337163,923
Fort Collins,CO,Colorado,Larimer,40.5477,-105.0656,335398,1142.2
Jackson,MS,Mississippi,Hinds,32.3157,-90.2125,335171,529.9
Myrtle Beach,SC,South Carolina,Horry,33.7094,-78.8844,332181,594.6
Fayetteville,NC,North Carolina,Cumberland,35.085,-78.9772,328804,543.5
Antioch,CA,California,Contra Costa,37.9787,-121.796,327216,1522.3
Lansing,MI,Michigan,Ingham,42.7142,-84.5601,322561,1114.5
Lexington,KY,Kentucky,Fayette,38.0423,-84.4587,321276,437
Mobile,AL,Alabama,Mobile,30.6782,-88.1162,320855,515.7
Youngstown,OH,Ohio,Mahoning,41.0993,-80.6463,319065,683.3
Henderson,NV,Nevada,Clark,36.0133,-115.0381,318063,1153.8
Savannah,GA,Georgia,Chatham,32.0286,-81.1821,316050,524.8
Poughkeepsie,NY,New York,Dutchess,41.695,-73.9211,314159,2380.4
Santa Ana,CA,California,Orange,33.7367,-117.8819,311379,4391.5
Ann Arbor,MI,Michigan,Washtenaw,42.2759,-83.731,308983,1671.9
St. Paul,MN,Minnesota,Ramsey,44.9478,-93.1039,308806,2294.1
Newark,NJ,New Jersey,Essex,40.7245,-74.1725,307355,4915.2
Irvine,CA,California,Orange,33.6772,-117.7738,304527,1792.1
Santa Rosa,CA,California,Sonoma,38.4458,-122.7067,296180,1618.1
Canton,OH,Ohio,Stark,40.8078,-81.3676,294047,1034.3
Asheville,NC,North Carolina,Buncombe,35.5707,-82.5537,294013,795.6
Flint,MI,Michigan,Genesee,43.0236,-83.6921,293893,945.2
Winter Haven,FL,Florida,Polk,28.0118,-81.7014,293093,596.3
Anchorage,AK,Alaska,Anchorage,61.1508,-149.1091,290674,65.8
Lincoln,NE,Nebraska,Lancaster,40.8099,-96.6784,290531,1132.1
Concord,NC,North Carolina,Cabarrus,35.3933,-80.6369,288783,635.4
Jersey City,NJ,New Jersey,Hudson,40.7184,-74.0686,287899,7537.2
Springfield,MO,Missouri,Greene,37.1943,-93.2916,286280,784.5
Plano,TX,Texas,Collin,33.0502,-96.7486,284948,1534.7
Shreveport,LA,Louisiana,Caddo,32.4653,-93.7955,283536,664.7
Davenport,IA,Iowa,Scott,41.5565,-90.6053,281333,614
Lubbock,TX,Texas,Lubbock,33.5657,-101.8879,280890,722.2
Lakeland,FL,Florida,Polk,28.0557,-81.9545,280346,663.9
South Bend,IN,Indiana,St. Joseph,41.6767,-86.2696,278061,948.2
Chula Vista,CA,California,San Diego,32.6281,-117.0144,276103,2147.6
Chandler,AZ,Arizona,Maricopa,33.2825,-111.8514,275618,1624.6
Rockford,IL,Illinois,Winnebago,42.2596,-89.064,273237,881.3
Reading,PA,Pennsylvania,Berks,40.34,-75.9267,272712,3710.8
Eugene,OR,Oregon,Lane,44.0564,-123.1174,270990,1543.4
Wilmington,NC,North Carolina,New Hanover,34.2099,-77.8866,268625,878.3
Santa Clarita,CA,California,Los Angeles,34.4175,-118.4964,268273,1232.5
Gilbert,AZ,Arizona,Maricopa,33.31,-111.7463,267267,1503.9
Salem,OR,Oregon,Marion,44.9233,-123.0244,266420,1387.5
Killeen,TX,Texas,Bell,31.0753,-97.7297,265921,1086.4
Round Lake Beach,IL,Illinois,Lake,42.3791,-88.0811,264451,2084.1
Columbus,GA,Georgia,Muscogee,32.51,-84.8771,264282,364.8
North Las Vegas,NV,Nevada,Clark,36.2883,-115.0888,264022,996.2
Kennewick,WA,Washington,Benton,46.1978,-119.1732,259995,1138.5
St. Petersburg,FL,Florida,Pinellas,27.7931,-82.6652,259343,1620.2
Tallahassee,FL,Florida,Leon,30.4551,-84.2527,258696,751.3
Laredo,TX,Texas,Webb,27.5625,-99.4874,255293,922.7
Irving,TX,Texas,Dallas,32.8583,-96.9702,254962,1469.7
Peoria,IL,Illinois,Peoria,40.752,-89.6154,253467,908.7
Montgomery,AL,Alabama,Montgomery,32.3482,-86.2668,251158,482.6
Chesapeake,VA,Virginia,Chesapeake,36.6778,-76.3023,249377,284.5
Glendale,AZ,Arizona,Maricopa,33.5791,-112.2311,248083,1451.1
York,PA,Pennsylvania,York,39.9651,-76.7315,247176,3267
Nashua,NH,New Hampshire,Hillsborough,42.7491,-71.491,245209,1138.8
Garland,TX,Texas,Dallas,32.91,-96.6304,244026,1649.6
Scottsdale,AZ,Arizona,Maricopa,33.6872,-111.8651,240537,504.7
Lafayette,LA,Louisiana,Lafayette,30.2082,-92.0325,237565,839.2
Norfolk,VA,Virginia,Norfolk,36.8945,-76.259,236973,1717.4
Arlington,VA,Virginia,Arlington,38.8786,-77.1011,235845,3502.7
Appleton,WI,Wisconsin,Outagamie,44.278,-88.3892,233947,1145.4
Aguadilla,PR,Puerto Rico,Aguadilla,18.4382,-67.1537,228854,1751.5
Rock Hill,SC,South Carolina,York,34.9415,-81.0241,228811,655.4
Fremont,CA,California,Alameda,37.5265,-121.9843,228795,1131
Fargo,ND,North Dakota,Cass,46.8651,-96.8292,228364,968.3
Gulfport,MS,Mississippi,Harrison,30.4274,-89.0704,228022,503.4
Bremerton,WA,Washington,Kitsap,47.5436,-122.7121,226805,597.3
Green Bay,WI,Wisconsin,Brown,44.5148,-87.9895,225633,907.1
Enterprise,NV,Nevada,Clark,36.0091,-115.2278,225461,1319
Hialeah,FL,Florida,Miami-Dade,25.8696,-80.3045,222996,3989.5
Deltona,FL,Florida,Volusia,28.905,-81.2137,221137,976.3
San Bernardino,CA,California,San Bernardino,34.1416,-117.2943,221041,1373.7
Gainesville,FL,Florida,Alachua,29.6804,-82.3459,220929,860.2
Spring Valley,NV,Nevada,Clark,36.0952,-115.2636,220114,2393.6
Tacoma,WA,Washington,Pierce,47.2431,-122.4531,219234,1702.7
Roanoke,VA,Virginia,Roanoke,37.2785,-79.9581,218533,900.9
Brownsville,TX,Texas,Cameron,25.9975,-97.458,215269,548.4
College Station,TX,Texas,Brazos,30.5852,-96.2959,213177,909
Olympia,WA,Washington,Thurston,47.0417,-122.8959,210877,1168.7
Clarksville,TN,Tennessee,Montgomery,36.5692,-87.3413,210551,650.9
Yonkers,NY,New York,Westchester,40.9466,-73.8673,209780,4498.4
Moreno Valley,CA,California,Riverside,33.9244,-117.2045,209578,1577.1
Thousand Oaks,CA,California,Ventura,34.1914,-118.8756,209570,884.1
Portland,ME,Maine,Cumberland,43.6773,-70.2715,209491,1223.9
Fontana,CA,California,San Bernardino,34.0968,-117.4599,209279,1867.1
Hickory,NC,North Carolina,Catawba,35.741,-81.3223,206008,539.2
Amarillo,TX,Texas,Potter,35.1984,-101.8316,205903,750.2
Sioux Falls,SD,South Dakota,Minnehaha,43.5396,-96.7311,204484,926
Evansville,IN,Indiana,Vanderburgh,37.9881,-87.5341,203661,953.2
Huntington,WV,West Virginia,Cabell,38.4109,-82.4345,202754,1110.2
Waterbury,CT,Connecticut,Naugatuck Valley,41.5582,-73.0361,202422,1547.8
Frisco,TX,Texas,Collin,33.156,-96.8216,202075,1137.6
Lorain,OH,Ohio,Lorain,41.4409,-82.184,201808,1065.4
Kalamazoo,MI,Michigan,Kalamazoo,42.2749,-85.5882,200838,1146.8
Galveston,TX,Texas,Galveston,29.2484,-94.8913,200451,501.2
Spartanburg,SC,South Carolina,Spartanburg,34.9442,-81.9251,200000,730.2
Santa Barbara,CA,California,Santa Barbara,34.4285,-119.7202,199023,1754.6
Sunrise Manor,NV,Nevada,Clark,36.1783,-115.0487,198325,2271.3
Huntington Beach,CA,California,Orange,33.696,-118.0018,197481,2825.9
Grand Prairie,TX,Texas,Dallas,32.6871,-97.0208,197279,1050.5
Overland Park,KS,Kansas,Johnson,38.887,-94.687,196676,1009.4
McKinney,TX,Texas,Collin,33.2016,-96.667,196160,1131
Waco,TX,Texas,McLennan,31.5599,-97.1882,195709,604.6
Hagerstown,MD,Maryland,Washington,39.6401,-77.7217,195261,1334
Glendale,CA,California,Los Angeles,34.1819,-118.2468,194512,2464
Nampa,ID,Idaho,Canyon,43.5844,-116.5638,193935,1139.2
Peoria,AZ,Arizona,Maricopa,33.7843,-112.2989,191292,419.5
Cedar Rapids,IA,Iowa,Linn,41.9662,-91.6783,191104,724
Vancouver,WA,Washington,Clark,45.6366,-122.5967,190700,1510.4
Paradise,NV,Nevada,Clark,36.0872,-115.1355,189733,1727.6
Ocala,FL,Florida,Marion,29.178,-82.1511,186840,518.8
Erie,PA,Pennsylvania,Erie,42.1167,-80.0733,185556,1913.7
Newport News,VA,Virginia,Newport News,37.1051,-76.5185,185118,1035.9
Frederick,MD,Maryland,Frederick,39.4337,-77.4141,184991,1263.9
Murfreesboro,TN,Tennessee,Rutherford,35.849,-86.4121,184763,926.1
Fort Lauderdale,FL,Florida,Broward,26.1412,-80.1464,182673,2039.5
Aurora,IL,Illinois,Kane,41.7638,-88.2902,181405,1555.1
Tempe,AZ,Arizona,Maricopa,33.3881,-111.9319,181005,1748.3
Danbury,CT,Connecticut,Western Connecticut,41.4015,-73.4709,180143,794.2
Spring Hill,FL,Florida,Hernando,28.4798,-82.53,178833,753.2
Gastonia,NC,North Carolina,Gaston,35.2494,-81.1854,178220,598.7
Salinas,CA,California,Monterey,36.6883,-121.6317,177410,2672.8
Fredericksburg,VA,Virginia,Fredericksburg,38.2992,-77.4872,176791,1044
Ontario,CA,California,San Bernardino,34.0393,-117.6064,176326,1362
Elk Grove,CA,California,Sacramento,38.4161,-121.3842,176105,1596.1
Gainesville,GA,Georgia,Hall,34.2902,-83.8294,175569,493.1
Cary,NC,North Carolina,Wake,35.7819,-78.8195,174880,1126.5
Rancho Cucamonga,CA,California,San Bernardino,34.1247,-117.5667,174696,1450.5
Oceanside,CA,California,San Diego,33.2247,-117.3083,173722,1625.3
Garden Grove,CA,California,Orange,33.7787,-117.9601,171637,3691.2
Lancaster,CA,California,Los Angeles,34.6935,-118.1753,171465,702.2
Hemet,CA,California,Riverside,33.7341,-116.9969,170621,1182.9
Pembroke Pines,FL,Florida,Broward,26.0128,-80.3382,170472,2014
Panama City,FL,Florida,Bay,30.1995,-85.6003,169810,373.9
Vallejo,CA,California,Solano,38.1125,-122.2342,169541,1588.3
Manchester,NH,New Hampshire,Hillsborough,42.9848,-71.4447,169097,1343.1
Medford,OR,Oregon,Jackson,42.3372,-122.854,168959,1191.6
Bayamón,PR,Puerto Rico,Bayamón,18.3794,-66.1635,168698,2404.7
Mauldin,SC,South Carolina,Greenville,34.7821,-82.3032,168313,808.4
Santa Cruz,CA,California,Santa Cruz,36.9789,-122.0346,167835,1859.8
Palmdale,CA,California,Los Angeles,34.5944,-118.1057,166895,607.5
Norwich,CT,Connecticut,Southeastern Connecticut,41.5495,-72.0882,166885,551.1
Muskegon,MI,Michigan,Muskegon,43.2281,-86.2562,166847,1045.2
Leesburg,FL,Florida,Lake,28.7672,-81.8962,166200,270.6
High Point,NC,North Carolina,Guilford,35.991,-79.9937,164836,774.3
Tuscaloosa,AL,Alabama,Tuscaloosa,33.2348,-87.5268,164414,660
Visalia,CA,California,Tulare,36.3276,-119.3269,163681,1433
Marysville,WA,Washington,Snohomish,48.0809,-122.1561,162664,1318.1
Merced,CA,California,Merced,37.3057,-120.4779,160638,1455.9
Hayward,CA,California,Alameda,37.6328,-122.0766,160602,1353.4
Lafayette,IN,Indiana,Tippecanoe,40.3991,-86.8593,160543,930.9
Springfield,IL,Illinois,Sangamon,39.7709,-89.654,159671,721
Corona,CA,California,Riverside,33.8616,-117.5649,158346,1532.6
Paterson,NJ,New Jersey,Passaic,40.9147,-74.1624,157864,7244.8
Alexandria,VA,Virginia,Alexandria,38.8185,-77.0861,157594,4074.1
Macon,GA,Georgia,Bibb,32.8065,-83.6974,156554,242.4
Binghamton,NY,New York,Broome,42.1014,-75.9093,156375,1754.4
Lakewood,CO,Colorado,Jefferson,39.6977,-105.1172,156149,1387.3
Kansas City,KS,Kansas,Wyandotte,39.1235,-94.7443,155438,481.1
Odessa,TX,Texas,Ector,31.8801,-102.3448,155039,850.4
Sunnyvale,CA,California,Santa Clara,37.3836,-122.0255,154573,2705.4
New Bedford,MA,Massachusetts,Bristol,41.6697,-70.9428,153701,1942.4
Hollywood,FL,Florida,Broward,26.0293,-80.1679,152764,2164.4
South Lyon,MI,Michigan,Oakland,42.4614,-83.6526,152132,1216.5
Escondido,CA,California,San Diego,33.1348,-117.0723,151114,1562.3
Lake Charles,LA,Louisiana,Calcasieu,30.201,-93.2111,151109,670.5
Pasadena,TX,Texas,Harris,29.6575,-95.1498,150620,1331.1
Bellevue,WA,Washington,King,47.5951,-122.1535,150606,1737.5
Joliet,IL,Illinois,Will,41.5188,-88.1499,150221,882.1
Champaign,IL,Illinois,Champaign,40.1142,-88.2737,150179,1488.4
Pomona,CA,California,Los Angeles,34.0585,-117.7626,149831,2516.9
Fairfield,CA,California,Solano,38.2583,-122.0335,149635,1108.7
Mesquite,TX,Texas,Dallas,32.7602,-96.5865,149439,1175.4
Elkhart,IN,Indiana,Elkhart,41.6916,-85.9627,149423,752.7
Naperville,IL,Illinois,DuPage,41.748,-88.1659,149089,1471.7
St. George,UT,Utah,Washington,37.0758,-113.5752,148895,481.3
Roseville,CA,California,Placer,38.7703,-121.3196,148879,1303.8
Topeka,KS,Kansas,Shawnee,39.0346,-95.6955,148185,792.2
Burlington,NC,North Carolina,Alamance,36.076,-79.4685,147415,726.6
Warner Robins,GA,Georgia,Houston,32.5961,-83.6527,146790,819.4
Surprise,AZ,Arizona,Maricopa,33.6815,-112.4515,145591,509.4
Torrance,CA,California,Los Angeles,33.8346,-118.3416,145454,2737.4
Santa Maria,CA,California,Santa Barbara,34.9333,-120.4431,143647,1854.2
Athens,GA,Georgia,Clarke,33.9508,-83.3689,143173,420
Houma,LA,Louisiana,Terrebonne,29.58,-90.7059,143160,883.2
Columbia,MO,Missouri,Boone,38.9472,-92.3268,142637,725.2
Fullerton,CA,California,Orange,33.8841,-117.9279,142280,2450.2
Olathe,KS,Kansas,Johnson,38.8833,-94.82,142114,878.6
Thornton,CO,Colorado,Adams,39.9197,-104.9438,141799,1500.2
Greeley,CO,Colorado,Weld,40.4152,-104.7706,140984,843.2
Beaumont,TX,Texas,Jefferson,30.0849,-94.1451,140930,537.6
Las Cruces,NM,New Mexico,Doña Ana,32.3265,-106.7893,140915,558.4
Midland,TX,Texas,Midland,32.0243,-102.1147,140171,673.3
Metairie,LA,Louisiana,Jefferson,29.9977,-90.178,140046,2334.8
Carolina,PR,Puerto Rico,Carolina,18.4054,-65.9792,139201,2594.9
West Valley City,UT,Utah,Salt Lake,40.6886,-112.0123,138868,1496.6
Orange,CA,California,Orange,33.8038,-117.8218,138728,2086.8
Warren,MI,Michigan,Macomb,42.4934,-83.027,138588,1556.5
Grand Junction,CO,Colorado,Mesa,39.0877,-108.5673,138416,628.7
Tyler,TX,Texas,Smith,32.3184,-95.3062,138024,711.1
Pasadena,CA,California,Los Angeles,34.1597,-118.139,137554,2313.2
Hampton,VA,Virginia,Hampton,37.0551,-76.363,137217,1029.5
Bloomington,IL,Illinois,McLean,40.4757,-88.9703,136524,1122
Elizabeth,NJ,New Jersey,Union,40.6658,-74.1913,135665,4252.1
Stamford,CT,Connecticut,Western Connecticut,41.1039,-73.5585,135413,1389.9
Yuma,AZ,Arizona,Yuma,32.5995,-114.5491,135389,307.8
Kent,WA,Washington,King,47.3887,-122.2128,135169,1542.6
Miramar,FL,Florida,Broward,25.9773,-80.3351,135158,1808.6
Coeur d'Alene,ID,Idaho,Kootenai,47.704,-116.7936,134503,1309.1
Coral Springs,FL,Florida,Broward,26.2702,-80.2591,133801,2259.4
Sterling Heights,MI,Michigan,Macomb,42.5809,-83.0305,133744,1416.8
Yuba City,CA,California,Sutter,39.1357,-121.6383,133106,1751.4
Yakima,WA,Washington,Yakima,46.5923,-120.5496,132354,1343.7
Carrollton,TX,Texas,Dallas,32.989,-96.8999,132284,1393.3
Racine,WI,Wisconsin,Racine,42.7274,-87.8135,132006,1932.5
Johnson City,TN,Tennessee,Washington,36.3406,-82.3806,131718,628.5
Billings,MT,Montana,Yellowstone,45.7891,-108.5526,131519,998.3
Iowa City,IA,Iowa,Johnson,41.6559,-91.5303,130736,1127
Dover,DE,Delaware,Kent,39.161,-75.5202,130186,634.2
Bellingham,WA,Washington,Whatcom,48.7548,-122.469,129880,1250.8
Charleston,WV,West Virginia,Kanawha,38.3484,-81.6322,129754,594.8
Lynchburg,VA,Virginia,Lynchburg,37.4003,-79.1909,128849,624.1
Santa Clara,CA,California,Santa Clara,37.3646,-121.968,128058,2705.3
Norman,OK,Oklahoma,Cleveland,35.2335,-97.3471,127701,276
Greenville,NC,North Carolina,Pitt,35.5943,-77.376,127574,906.4
Simi Valley,CA,California,Ventura,34.2663,-118.749,127568,1172.4
Fort Smith,AR,Arkansas,Sebastian,35.3495,-94.3695,126452,537.3
Abilene,TX,Texas,Taylor,32.4543,-99.7384,126356,457.4
Arecibo,PR,Puerto Rico,Arecibo,18.4491,-66.7387,125727,1007.8
Lewisville,TX,Texas,Denton,33.0454,-96.9815,125028,1187.4
Pearland,TX,Texas,Brazoria,29.5581,-95.3218,124478,987.1
Lehigh Acres,FL,Florida,Lee,26.612,-81.6388,124440,518.3
Kenosha,WI,Wisconsin,Kenosha,42.5865,-87.8773,124297,1341.2
Seaside,CA,California,Monterey,36.6224,-121.8199,123421,1397.2
Burlington,VT,Vermont,Chittenden,44.4876,-73.2316,123307,1673.1
Arvada,CO,Colorado,Jefferson,39.832,-105.151,123066,1219
Waldorf,MD,Maryland,Charles,38.6085,-76.9194,122310,863.7
Independence,MO,Missouri,Jackson,39.0871,-94.3501,122218,605.2
Rochester,MN,Minnesota,Olmsted,44.0154,-92.478,121870,836.8
Logan,UT,Utah,Cache,41.7399,-111.8422,121666,1142.4
Harlingen,TX,Texas,Cameron,26.1916,-97.6977,121441,688.2
Berkeley,CA,California,Alameda,37.8722,-122.276,121385,4492.7
Clovis,CA,California,Fresno,36.8278,-119.683,120607,1801.3
Round Rock,TX,Texas,Williamson,30.527,-97.6642,120465,1231.6
Pueblo,CO,Colorado,Pueblo,38.2701,-104.6114,120380,765.4
Temple,TX,Texas,Bell,31.1068,-97.3891,120240,447
Meridian,ID,Idaho,Ada,43.6116,-116.3977,119872,1271.9
Duluth,MN,Minnesota,St. Louis,46.7756,-92.1393,118574,467.5
The Woodlands,TX,Texas,Montgomery,30.1738,-95.5134,118402,1056.4
